Cycle
WLTC
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0.200000003
13	1.700000048
14	5.400000095
15	9.899999619
16	13.10000038
17	16.89999962
18	21.70000076
19	26
20	27.5
21	28.10000038
22	28.29999924
23	28.79999924
24	29.10000038
25	30.79999924
26	31.89999962
27	34.09999847
28	36.59999847
29	39.09999847
30	41.29999924
31	42.5
32	43.29999924
33	43.90000153
34	44.40000153
35	44.5
36	44.20000076
37	42.70000076
38	39.90000153
39	37
40	34.59999847
41	32.29999924
42	29
43	25.10000038
44	22.20000076
45	20.89999962
46	20.39999962
47	19.5
48	18.39999962
49	17.79999924
50	17.79999924
51	17.39999962
52	15.69999981
53	13.10000038
54	12.10000038
55	12
56	12
57	12
58	12.30000019
59	12.60000038
60	14.69999981
61	15.30000019
62	15.89999962
63	16.20000076
64	17.10000038
65	17.79999924
66	18.10000038
67	18.39999962
68	20.29999924
69	23.20000076
70	26.5
71	29.79999924
72	32.59999847
73	34.40000153
74	35.5
75	36.40000153
76	37.40000153
77	38.5
78	39.29999924
79	39.5
80	39
81	38.5
82	37.29999924
83	37
84	36.70000076
85	35.90000153
86	35.29999924
87	34.59999847
88	34.20000076
89	31.89999962
90	27.29999924
91	22
92	17
93	14.19999981
94	12
95	9.100000381
96	5.800000191
97	3.599999905
98	2.200000048
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0.200000003
139	1.899999976
140	6.099999905
141	11.69999981
142	16.39999962
143	18.89999962
144	19.89999962
145	20.79999924
146	22.79999924
147	25.39999962
148	27.70000076
149	29.20000076
150	29.79999924
151	29.39999962
152	27.20000076
153	22.60000038
154	17.29999924
155	13.30000019
156	12
157	12.60000038
158	14.10000038
159	17.20000076
160	20.10000038
161	23.39999962
162	25.5
163	27.60000038
164	29.5
165	31.10000038
166	32.09999847
167	33.20000076
168	35.20000076
169	37.20000076
170	38
171	37.40000153
172	35.09999847
173	31
174	27.10000038
175	25.29999924
176	25.10000038
177	25.89999962
178	27.79999924
179	29.20000076
180	29.60000038
181	29.5
182	29.20000076
183	28.29999924
184	26.10000038
185	23.60000038
186	21
187	18.89999962
188	17.10000038
189	15.69999981
190	14.5
191	13.69999981
192	12.89999962
193	12.5
194	12.19999981
195	12
196	12
197	12
198	12
199	12.5
200	13
201	14
202	15
203	16.5
204	19
205	21.20000076
206	23.79999924
207	26.89999962
208	29.60000038
209	32
210	35.20000076
211	37.5
212	39.20000076
213	40.5
214	41.59999847
215	43.09999847
216	45
217	47.09999847
218	49
219	50.59999847
220	51.79999924
221	52.70000076
222	53.09999847
223	53.5
224	53.79999924
225	54.20000076
226	54.79999924
227	55.29999924
228	55.79999924
229	56.20000076
230	56.5
231	56.5
232	56.20000076
233	54.90000153
234	52.90000153
235	51
236	49.79999924
237	49.20000076
238	48.40000153
239	46.90000153
240	44.29999924
241	41.5
242	39.5
243	37
244	34.59999847
245	32.29999924
246	29
247	25.10000038
248	22.20000076
249	20.89999962
250	20.39999962
251	19.5
252	18.39999962
253	17.79999924
254	17.79999924
255	17.39999962
256	15.69999981
257	14.5
258	15.39999962
259	17.89999962
260	20.60000038
261	23.20000076
262	25.70000076
263	28.70000076
264	32.5
265	36.09999847
266	39
267	40.79999924
268	42.90000153
269	44.40000153
270	45.90000153
271	46
272	45.59999847
273	45.29999924
274	43.70000076
275	40.79999924
276	38
277	34.40000153
278	30.89999962
279	25.5
280	21.39999962
281	20.20000076
282	22.89999962
283	26.60000038
284	30.20000076
285	34.09999847
286	37.40000153
287	40.70000076
288	44
289	47.29999924
290	49.20000076
291	49.79999924
292	49.20000076
293	48.09999847
294	47.29999924
295	46.79999924
296	46.70000076
297	46.79999924
298	47.09999847
299	47.29999924
300	47.29999924
301	47.09999847
302	46.59999847
303	45.79999924
304	44.79999924
305	43.29999924
306	41.79999924
307	40.79999924
308	40.29999924
309	40.09999847
310	39.70000076
311	39.20000076
312	38.5
313	37.40000153
314	36
315	34.40000153
316	33
317	31.70000076
318	30
319	28
320	26.10000038
321	25.60000038
322	24.89999962
323	24.89999962
324	24.29999924
325	23.89999962
326	23.89999962
327	23.60000038
328	23.29999924
329	20.5
330	17.5
331	16.89999962
332	16.70000076
333	15.89999962
334	15.60000038
335	15
336	14.5
337	14.30000019
338	14.5
339	15.39999962
340	17.79999924
341	21.10000038
342	24.10000038
343	25
344	25.29999924
345	25.5
346	26.39999962
347	26.60000038
348	27.10000038
349	27.70000076
350	28.10000038
351	28.20000076
352	28.10000038
353	28
354	27.89999962
355	27.89999962
356	28.10000038
357	28.20000076
358	28
359	26.89999962
360	25
361	23.20000076
362	21.89999962
363	21.10000038
364	20.70000076
365	20.70000076
366	20.79999924
367	21.20000076
368	22.10000038
369	23.5
370	24.29999924
371	24.5
372	23.79999924
373	21.29999924
374	17.70000076
375	14.39999962
376	11.89999962
377	10.19999981
378	8.899999619
379	8
380	7.199999809
381	6.099999905
382	4.900000095
383	3.700000048
384	2.299999952
385	0.899999976
386	0
387	0
388	0
389	0
390	0
391	0
392	0.5
393	2.099999905
394	4.800000191
395	8.300000191
396	12.30000019
397	16.60000038
398	20.89999962
399	24.20000076
400	25.60000038
401	25.60000038
402	24.89999962
403	23.29999924
404	21.60000038
405	20.20000076
406	18.70000076
407	17
