800	6.05	0.1	5.0
1000	8.73	86.7	9.1
1250	12.08	120.0	15.7
1500	16.20	160.9	25.3
1750	18.12	178	32.6
2000	18.12	178	37.3
2500	17.12	170.0	44.5
3000	15.61	155.0	48.7
3500	13.97	138.7	50.8
4000	12.38	123.0	51.5
4500	10.52	104.5	49.2
5000	8.57	85.1	44.6
